country,countryLabel,governmentLabel,hdi,gdpPerCapita,continentLabel
http://www.wikidata.org/entity/Q970,Коморы,федеративная республика,0.558,,Африка
http://www.wikidata.org/entity/Q29999,Королевство Нидерландов,конституционная монархия,0.941,,Европа
http://www.wikidata.org/entity/Q800,Коста-Рика,,0.809,,Северная Америка
http://www.wikidata.org/entity/Q1008,Кот-д’Ивуар,республика,0.55,,Африка
http://www.wikidata.org/entity/Q241,Куба,унитарное государство,0.764,,Северная Америка
http://www.wikidata.org/entity/Q817,Кувейт,конституционная монархия,0.831,,Азия
http://www.wikidata.org/entity/Q813,Кыргызстан,парламентская республика,0.692,,Азия
http://www.wikidata.org/entity/Q25279,Кюрасао,парламентская демократия,0.89,,Северная Америка
http://www.wikidata.org/entity/Q819,Лаос,народная республика,0.607,,Азия
http://www.wikidata.org/entity/Q819,Лаос,коммунистическая диктатура,0.607,,Азия
http://www.wikidata.org/entity/Q211,Латвия,республика,0.863,,Европа
http://www.wikidata.org/entity/Q211,Латвия,парламентская республика,0.863,,Европа
http://www.wikidata.org/entity/Q1013,Лесото,конституционная монархия,0.514,,Африка
http://www.wikidata.org/entity/Q1014,Либерия,республика,0.481,,Африка
http://www.wikidata.org/entity/Q1014,Либерия,президентская республика,0.481,,Африка
http://www.wikidata.org/entity/Q1014,Либерия,конституционная республика,0.481,,Африка
http://www.wikidata.org/entity/Q1014,Либерия,Herrenvolk democracy,0.481,,Африка
http://www.wikidata.org/entity/Q822,Ливан,парламентская республика,0.706,,Азия
http://www.wikidata.org/entity/Q1016,Ливия,республика,0.718,,Африка
http://www.wikidata.org/entity/Q37,Литва,смешанная республика,0.875,,Европа
http://www.wikidata.org/entity/Q37,Литва,парламентская республика,0.875,,Европа
http://www.wikidata.org/entity/Q347,Лихтенштейн,конституционная монархия,0.935,,Европа
http://www.wikidata.org/entity/Q32,Люксембург,конституционная монархия,0.93,,Европа
http://www.wikidata.org/entity/Q1027,Маврикий,парламентская республика,0.802,,Африка
http://www.wikidata.org/entity/Q1025,Мавритания,,0.556,,Африка
http://www.wikidata.org/entity/Q1019,Мадагаскар,республика,0.501,,Африка
http://www.wikidata.org/entity/Q1020,Малави,,0.512,,Африка
http://www.wikidata.org/entity/Q833,Малайзия,федеративная монархия,0.803,,Азия
http://www.wikidata.org/entity/Q833,Малайзия,парламентская монархия,0.803,,Азия
http://www.wikidata.org/entity/Q833,Малайзия,конституционная монархия,0.803,,Азия
http://www.wikidata.org/entity/Q833,Малайзия,федеративное государство,0.803,,Азия
http://www.wikidata.org/entity/Q833,Малайзия,выборная монархия,0.803,,Азия
http://www.wikidata.org/entity/Q912,Мали,,0.431,,Африка
http://www.wikidata.org/entity/Q826,Мальдивы,,0.747,,Азия
http://www.wikidata.org/entity/Q233,Мальта,парламентская демократия,0.918,,Европа
http://www.wikidata.org/entity/Q1028,Марокко,конституционная монархия,0.683,,Африка
http://www.wikidata.org/entity/Q709,Маршалловы Острова,,0.639,,Австралия и Океания
http://www.wikidata.org/entity/Q96,Мексика,империя,0.758,,Северная Америка
http://www.wikidata.org/entity/Q96,Мексика,президентская республика,0.758,,Северная Америка
http://www.wikidata.org/entity/Q96,Мексика,федеративная республика,0.758,,Северная Америка
http://www.wikidata.org/entity/Q96,Мексика,конституционная республика,0.758,,Северная Америка
http://www.wikidata.org/entity/Q96,Мексика,демократическая республика,0.758,,Северная Америка
http://www.wikidata.org/entity/Q1029,Мозамбик,,0.446,,Африка
http://www.wikidata.org/entity/Q217,Молдова,парламентская республика,0.767,,Европа
http://www.wikidata.org/entity/Q235,Монако,конституционная монархия,,,Европа
http://www.wikidata.org/entity/Q235,Монако,наследственная монархия,,,Европа
http://www.wikidata.org/entity/Q711,Монголия,парламентская система,0.739,,Азия
http://www.wikidata.org/entity/Q836,Мьянма,республика,0.585,,Азия
http://www.wikidata.org/entity/Q1030,Намибия,,0.615,,Африка
http://www.wikidata.org/entity/Q697,Науру,,,,Австралия и Океания
http://www.wikidata.org/entity/Q837,Непал,народная республика,0.602,,Азия
http://www.wikidata.org/entity/Q837,Непал,федеративная республика,0.602,,Азия
http://www.wikidata.org/entity/Q1032,Нигер,,0.4,,Африка
http://www.wikidata.org/entity/Q1033,Нигерия,федеративная республика,0.535,,Африка
http://www.wikidata.org/entity/Q55,Нидерланды,конституционная монархия,0.931,,Европа
http://www.wikidata.org/entity/Q55,Нидерланды,парламентская монархия,0.931,,Европа
http://www.wikidata.org/entity/Q811,Никарагуа,республика,0.667,,Северная Америка
http://www.wikidata.org/entity/Q34020,Ниуэ,,,,Океания
http://www.wikidata.org/entity/Q664,Новая Зеландия,парламентская монархия,0.937,41666.64,Австралия и Океания
http://www.wikidata.org/entity/Q20,Норвегия,конституционная монархия,0.966,,Европа
http://www.wikidata.org/entity/Q20,Норвегия,представительная демократия,0.966,,Европа
http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты,конституционная монархия,0.911,,Азия
http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты,абсолютная монархия,0.911,,Азия
http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты,федеративная монархия,0.911,,Азия
http://www.wikidata.org/entity/Q842,Оман,абсолютная монархия,0.816,,Азия
http://www.wikidata.org/entity/Q26988,Острова Кука,,,,Океания
http://www.wikidata.org/entity/Q843,Пакистан,федеративная республика,0.544,,Азия
http://www.wikidata.org/entity/Q843,Пакистан,парламентская республика,0.544,,Азия
http://www.wikidata.org/entity/Q695,Палау,,0.767,,Океания
http://www.wikidata.org/entity/Q695,Палау,,0.767,,Австралия и Океания
http://www.wikidata.org/entity/Q804,Панама,президентская республика,0.805,,Северная Америка
http://www.wikidata.org/entity/Q691,Папуа — Новая Гвинея,,0.558,2757.22,Австралия и Океания
http://www.wikidata.org/entity/Q733,Парагвай,,0.717,,Южная Америка
http://www.wikidata.org/entity/Q419,Перу,президентская республика,0.762,,Южная Америка
http://www.wikidata.org/entity/Q36,Польша,смешанная республика,0.876,,Европа
http://www.wikidata.org/entity/Q36,Польша,парламентская система,0.876,,Европа
http://www.wikidata.org/entity/Q36,Польша,унитарное государство,0.876,,Европа
http://www.wikidata.org/entity/Q45,Португалия,республика,0.866,,Европа
http://www.wikidata.org/entity/Q971,Республика Конго,парламентская республика,0.571,,Африка
http://www.wikidata.org/entity/Q884,Республика Корея,республика,0.925,,Азия
http://www.wikidata.org/entity/Q884,Республика Корея,президентская республика,0.925,,Азия
http://www.wikidata.org/entity/Q1246,Республика Косово,парламентская республика,,,Европа
http://www.wikidata.org/entity/Q159,Россия,суперпрезидентская республика,0.822,,Европа
http://www.wikidata.org/entity/Q1037,Руанда,смешанная республика,0.578,,Африка
http://www.wikidata.org/entity/Q218,Румыния,смешанная республика,0.821,,Европа
http://www.wikidata.org/entity/Q30,США,конституционная республика,0.921,,Северная Америка
http://www.wikidata.org/entity/Q30,США,демократическая республика,0.921,,Северная Америка
http://www.wikidata.org/entity/Q792,Сальвадор,республика,0.675,,Северная Америка
http://www.wikidata.org/entity/Q792,Сальвадор,президентская республика,0.675,,Северная Америка
http://www.wikidata.org/entity/Q792,Сальвадор,представительная демократия,0.675,,Северная Америка
http://www.wikidata.org/entity/Q683,Самоа,,0.707,,Австралия и Океания
http://www.wikidata.org/entity/Q238,Сан-Марино,диархия,0.853,,Европа
http://www.wikidata.org/entity/Q238,Сан-Марино,парламентская республика,0.853,,Европа
http://www.wikidata.org/entity/Q1039,Сан-Томе и Принсипи,,0.618,,Африка
http://www.wikidata.org/entity/Q851,Саудовская Аравия,монархия,0.875,,Азия
http://www.wikidata.org/entity/Q851,Саудовская Аравия,абсолютная монархия,0.875,,Азия
http://www.wikidata.org/entity/Q851,Саудовская Аравия,исламская теократия,0.875,,Азия
http://www.wikidata.org/entity/Q221,Северная Македония,парламентская республика,0.77,,Европа
http://www.wikidata.org/entity/Q1042,Сейшельские Острова,,0.785,,Африка
http://www.wikidata.org/entity/Q1041,Сенегал,президентская республика,0.511,,Африка
http://www.wikidata.org/entity/Q757,Сент-Винсент и Гренадины,конституционная монархия,0.751,,Северная Америка
http://www.wikidata.org/entity/Q763,Сент-Китс и Невис,конституционная монархия,0.777,,Северная Америка
http://www.wikidata.org/entity/Q763,Сент-Китс и Невис,федеративная монархия,0.777,,Северная Америка
http://www.wikidata.org/entity/Q760,Сент-Люсия,конституционная монархия,0.715,,Северная Америка
http://www.wikidata.org/entity/Q403,Сербия,,0.802,,Европа
http://www.wikidata.org/entity/Q334,Сингапур,парламентская республика,0.939,,Азия
http://www.wikidata.org/entity/Q26273,Синт-Мартен,,,,Северная Америка
http://www.wikidata.org/entity/Q858,Сирия,временное правительство,0.577,,Азия
http://www.wikidata.org/entity/Q214,Словакия,парламентская республика,0.848,,Европа
http://www.wikidata.org/entity/Q215,Словения,демократическая республика,0.918,,Европа
http://www.wikidata.org/entity/Q685,Соломоновы Острова,,0.564,,Океания
http://www.wikidata.org/entity/Q685,Соломоновы Острова,,0.564,,Австралия и Океания
http://www.wikidata.org/entity/Q1045,Сомали,федеративная республика,,,Африка
http://www.wikidata.org/entity/Q34754,Сомалиленд,,,,Африка
http://www.wikidata.org/entity/Q1049,Судан,федеративная республика,0.508,,Африка
http://www.wikidata.org/entity/Q730,Суринам,республика,0.73,,Южная Америка
http://www.wikidata.org/entity/Q1044,Сьерра-Леоне,президентская республика,0.477,,Африка
http://www.wikidata.org/entity/Q863,Таджикистан,президентская республика,0.685,,Азия
http://www.wikidata.org/entity/Q869,Таиланд,конституционная монархия,0.8,,Азия
http://www.wikidata.org/entity/Q869,Таиланд,парламентская монархия,0.8,,Азия
http://www.wikidata.org/entity/Q924,Танзания,,0.549,,Африка
http://www.wikidata.org/entity/Q945,Того,,0.539,,Африка
http://www.wikidata.org/entity/Q678,Тонга,,0.745,,Австралия и Океания
http://www.wikidata.org/entity/Q754,Тринидад и Тобаго,парламентская республика,0.81,,Северная Америка
http://www.wikidata.org/entity/Q672,Тувалу,,0.641,,Океания
http://www.wikidata.org/entity/Q672,Тувалу,,0.641,,Австралия и Океания
http://www.wikidata.org/entity/Q948,Тунис,смешанная республика,0.731,,Африка
http://www.wikidata.org/entity/Q948,Тунис,парламентская республика,0.731,,Африка
http://www.wikidata.org/entity/Q23681,Турецкая Республика Северного Кипра,смешанная республика,,,Европа
http://www.wikidata.org/entity/Q23681,Турецкая Республика Северного Кипра,унитарное государство,,,Европа
http://www.wikidata.org/entity/Q23681,Турецкая Республика Северного Кипра,смешанная республика,,,Азия
http://www.wikidata.org/entity/Q23681,Турецкая Республика Северного Кипра,унитарное государство,,,Азия
http://www.wikidata.org/entity/Q874,Туркменистан,республика,0.745,,Азия
http://www.wikidata.org/entity/Q874,Туркменистан,президентская республика,0.745,,Азия
http://www.wikidata.org/entity/Q43,Турция,президентская республика,0.838,,Азия
http://www.wikidata.org/entity/Q43,Турция,унитарное государство,0.838,,Азия
http://www.wikidata.org/entity/Q1036,Уганда,президентская республика,0.525,,Африка
http://www.wikidata.org/entity/Q265,Узбекистан,президентская республика,0.727,,Азия
http://www.wikidata.org/entity/Q212,Украина,смешанная республика,0.773,,Европа
http://www.wikidata.org/entity/Q77,Уругвай,республика,0.809,,Южная Америка
http://www.wikidata.org/entity/Q77,Уругвай,президентская республика,0.809,,Южная Америка
http://www.wikidata.org/entity/Q77,Уругвай,participatory democracy,0.809,,Южная Америка
http://www.wikidata.org/entity/Q702,Федеративные Штаты Микронезии,федеративная республика,0.628,,Австралия и Океания
