type,typeLabelRu,traditionsCount,exampleTradition,country,countryLabelRu
http://www.wikidata.org/entity/Q82821,традиция,4,индуизм в Южной Азии,http://www.wikidata.org/entity/Q854,Шри-Ланка
http://www.wikidata.org/entity/Q132241,фестиваль,4,Театральный Лори,http://www.wikidata.org/entity/Q399,Армения
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q122443,Аттика
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q750,Боливия
http://www.wikidata.org/entity/Q132241,фестиваль,4,Ферия дель Соль,http://www.wikidata.org/entity/Q717,Венесуэла
http://www.wikidata.org/entity/Q132241,фестиваль,4,Дивали,http://www.wikidata.org/entity/Q836,Мьянма
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q1032,Нигер
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q971,Республика Конго
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q1246,Республика Косово
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q1041,Сенегал
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q236,Черногория
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q258,ЮАР
http://www.wikidata.org/entity/Q36192,фольклор,4,,http://www.wikidata.org/entity/Q155,Бразилия
http://www.wikidata.org/entity/Q36192,фольклор,4,фольклор Квебека,http://www.wikidata.org/entity/Q16,Канада
http://www.wikidata.org/entity/Q36192,фольклор,4,,http://www.wikidata.org/entity/Q1036,Уганда
http://www.wikidata.org/entity/Q2627975,церемония,4,,http://www.wikidata.org/entity/Q1006,Гвинея
http://www.wikidata.org/entity/Q2627975,церемония,4,кинофестиваль «Золотая лошадь»,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань)
http://www.wikidata.org/entity/Q2627975,церемония,4,воинское приветствие,http://www.wikidata.org/entity/Q55,Нидерланды
http://www.wikidata.org/entity/Q2207288,ремесло,3,,http://www.wikidata.org/entity/Q399,Армения
http://www.wikidata.org/entity/Q2207288,ремесло,3,,http://www.wikidata.org/entity/Q155,Бразилия
http://www.wikidata.org/entity/Q2207288,ремесло,3,дрезденская вышивка,http://www.wikidata.org/entity/Q183,Германия
